titulo,descripcion,imagen,ingredientes,fecha,fuente,Producto,Porción,Nutriente,Cantidad,Unidad,%VD,Cantidad_num,_origen_html,_row,Nutriente_unidad
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Valor energético,131,kcal,7.0,131.0,modal_html,2,Valor energético [kcal]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Carbohidratos,21,g,7.0,21.0,modal_html,2,Carbohidratos [g]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Proteínas,5.1,g,7.0,5.1,modal_html,2,Proteínas [g]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Grasas saturadas,0.5,g,2.0,0.5,modal_html,2,Grasas saturadas [g]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Grasas monoinsaturadas,3.3,g,,3.3,modal_html,2,Grasas monoinsaturadas [g]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Grasas poliinsaturadas,0.4,g,,0.4,modal_html,2,Grasas poliinsaturadas [g]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Grasas trans,0,g,,0.0,modal_html,2,Grasas trans [g]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Fibra,1.2,g,5.0,1.2,modal_html,2,Fibra [g]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),Sodio,81,mg,3.0,81.0,modal_html,2,Sodio [mg]
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas de uva.,https://www.nutrinfo.com/imagenes/vademecum/11657/6862b56d51227.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Empresa,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 39 g (3 galletitas),Valor energético,169,kcal,8.0,169.0,modal_html,3,Valor energético [kcal]
